path,category,description,materials,gemstones,gender,detected_category
data/Jewellery_Data\necklace\necklace_1.jpg,necklace,A delicate gold chain necklace with three evenly spaced pearls ,Gold,Pearl,,Necklace
data/Jewellery_Data\necklace\necklace_10.jpg,necklace,A intricate choker style necklace with gold chain and leaf like embellishments,Gold,,Men,Necklace
data/Jewellery_Data\necklace\necklace_100.jpg,necklace,A delicate gold chain simple round pearl pendant ,Gold,Pearl,,Necklace
data/Jewellery_Data\necklace\necklace_101.jpg,necklace,a gold necklace with a name plate on it,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_102.jpg,necklace,a Y shape golden necklace with a infinity sign and a white diamond on it.,"Gold,Diamond",Diamond,,Necklace
data/Jewellery_Data\necklace\necklace_103.jpg,necklace,a Y shape necklace with a heart and love letter on it.,,,,Necklace
data/Jewellery_Data\necklace\necklace_104.jpg,necklace,a gold necklace with a small bow shape pendant.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_105.jpg,necklace,A two tone necklace with a rose gold infinity symbol and with a small diamond heart in the center.,"Gold,Diamond,Rose Gold",Diamond,,Necklace
data/Jewellery_Data\necklace\necklace_106.jpg,necklace,a gold necklace with a floral heart design.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_107.jpg,necklace,a silver necklace with plain infinity symbol and a white diamond infinity symbol on it.,"Diamond,Silver",Diamond,,Necklace
data/Jewellery_Data\necklace\necklace_108.jpg,necklace,a gold necklace with a diamond infinity and golden small heart on it.,"Gold,Diamond",Diamond,,Necklace
data/Jewellery_Data\necklace\necklace_109.jpg,necklace,a golden necklace with a ring  shape diamond in the middle and two small infinity shape around the ring.,"Gold,Diamond",Diamond,,"Ring,Necklace"
data/Jewellery_Data\necklace\necklace_110.jpg,necklace,a gold necklace with two circles and four flowers shape design.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_111.jpg,necklace,a gold necklace with four small spherical shape designs.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_112.jpg,necklace,a gold bracelet with a four spherical shape design connect to each other.,Gold,,,Bracelet
data/Jewellery_Data\necklace\necklace_113.jpg,necklace,a gold necklace with a chain and a five balls like design connect to each other with small diamonds.,"Gold,Diamond",Diamond,,Necklace
data/Jewellery_Data\necklace\necklace_114.jpg,necklace,a gold necklace with a pearl drop and two flat circle shape that connects the pearl to the necklace ,Gold,Pearl,,Necklace
data/Jewellery_Data\necklace\necklace_115.jpg,necklace,a double gold chain necklace with a butterflies and flowers.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_116.jpg,necklace,a gold necklace with a small six geometric elements.,Gold,,Men,Necklace
data/Jewellery_Data\necklace\necklace_117.jpg,necklace,a gold necklace with a chain and a many oval shape design on it.,Gold,,Men,Necklace
data/Jewellery_Data\necklace\necklace_118.jpg,necklace,a gold necklace with a two rings at the middle.,Gold,,,"Ring,Necklace"
data/Jewellery_Data\necklace\necklace_119.jpg,necklace,a gold necklace with a small teddy shape pendant in the middle.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_12.jpg,necklace,a double layer necklace with two black and yellow beads on each of them.,,,,Necklace
data/Jewellery_Data\necklace\necklace_120.jpg,necklace,a simple plain two layers gold necklace.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_121.jpg,necklace,a gold long chain and a single hoop choker necklace.,Gold,,,"Earring,Necklace"
data/Jewellery_Data\necklace\necklace_122.jpg,necklace,a gold necklace with a small square pendant.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_123.jpg,necklace,a gold necklace with a circle pendant and a diamond in the middle.,"Gold,Diamond",Diamond,,Necklace
data/Jewellery_Data\necklace\necklace_124.jpg,necklace,a gold necklace with rectangle shape heart on it.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_125.jpg,necklace,a gold necklace with a single flower and leaf like a pendant.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_126.jpg,necklace,a gold necklace with a small leaf like a pendant.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_127.jpg,necklace,a gold double layer necklace with circles at edges.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_128.jpg,necklace,a gold necklace with a oval shape diamond pendant.,"Gold,Diamond",Diamond,,Necklace
data/Jewellery_Data\necklace\necklace_129.jpg,necklace,a gold necklace with a three square attached to each other like pendant,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_130.jpg,necklace,a gold necklace with a cylindercal shape pendant on the front.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_131.jpg,necklace,a gold necklace with a key shape pendant which has small butterfly on it.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_132.jpg,necklace,a gold necklace with a cube shape flower design on the front.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_133.jpg,necklace,a gold necklace with a cube shape pendant and fringe on it.,Gold,,,"Ring,Necklace"
data/Jewellery_Data\necklace\necklace_134.jpg,necklace,a gold three layer necklace with different small flower pendant on it layer.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_135.jpg,necklace,a gold necklace with a long leaf pendant and pearl diamond at the end of the fringe.,"Gold,Diamond","Diamond,Pearl",,"Ring,Necklace"
data/Jewellery_Data\necklace\necklace_136.jpg,necklace,a gold necklace with a small three circle falling downward pendant.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_137.jpg,necklace,a gold necklace with a butterfly and hanging heart pendant.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_138.jpg,necklace,a gold necklace with a white and yellow diamond and flowers pendant with one fringe.,"Gold,Diamond",Diamond,,"Ring,Necklace"
data/Jewellery_Data\necklace\necklace_139.jpg,necklace,a gold necklace with a flower design and pearl pendant.,Gold,Pearl,,Necklace
data/Jewellery_Data\necklace\necklace_14.jpg,necklace,a simple three layer gold necklace with four purple stone at the one edge.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_141.jpg,necklace,a gold chain with a flower pendant.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_143.jpg,necklace,a gold and pearl three layer necklace with a flower design.,Gold,Pearl,,Necklace
data/Jewellery_Data\necklace\necklace_144.jpg,necklace,a gold necklace with a black diamond and a butterfly shape hanging pendant.,"Gold,Diamond",Diamond,,Necklace
data/Jewellery_Data\necklace\necklace_145.jpg,necklace,a gold necklace with a curved design pendant.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_146.jpg,necklace,a gold necklace with a triangle shape pendant on the front,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_147.jpg,necklace,a gold necklace with a two square shaped pendant,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_149.jpg,necklace,a gold necklace with five  triangles on it in the middle ,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_15.jpg,necklace,a three layers necklace with green stones and a gold chain,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_151.jpg,necklace,a gold necklace with circles on it,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_153.jpg,necklace,a gold necklace with many small  discs like pendant in the middle.,Gold,,Men,Necklace
data/Jewellery_Data\necklace\necklace_154.jpg,necklace,a three layers gold and pearl necklace with a diamond and flower pendant.,"Gold,Diamond","Diamond,Pearl",,Necklace
data/Jewellery_Data\necklace\necklace_155.jpg,necklace,a gold necklace with pearls and rectangle shape pendant.,Gold,Pearl,,Necklace
data/Jewellery_Data\necklace\necklace_156.jpg,necklace,a gold necklace with a pearl and half circle pendant.,Gold,Pearl,,Necklace
data/Jewellery_Data\necklace\necklace_158.jpg,necklace,a simple gold necklace with a small hanging coin on it.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_16.jpg,necklace,a three layers gold necklace with a black and green diamond on it ,"Gold,Diamond",Diamond,,Necklace
data/Jewellery_Data\necklace\necklace_160.jpg,necklace,a gold necklace with a three  hexagon shape pendant.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_161.jpg,necklace,a rose gold necklace with a small diamond circle pendant.,"Gold,Diamond,Rose Gold",Diamond,,Necklace
data/Jewellery_Data\necklace\necklace_162.jpg,necklace,a gold necklace with a black stone and a gold chain and a small circle shape pendant.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_164.jpg,necklace,a gold necklace with a triangle and a diamond,"Gold,Diamond",Diamond,,Necklace
data/Jewellery_Data\necklace\necklace_165.jpg,necklace,a three layers necklace with a long chain and a blue and pink stone on it.,,,,Necklace
data/Jewellery_Data\necklace\necklace_167.jpg,necklace,a gold three layer necklace with small l circles on it.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_169.jpg,necklace,a gold necklace with green stones and a gold disc.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_170.jpg,necklace,a necklace with a purple stone and a rose cut diamond,Diamond,Diamond,,Necklace
data/Jewellery_Data\necklace\necklace_171.jpg,necklace,a gold necklace with a disc pendant,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_172.jpg,necklace,a gold necklace with cube shape pendant ,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_173.jpg,necklace,a three layers necklace with purple and golden stones.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_174.jpg,necklace,a gold necklace with a circle design,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_175.jpg,necklace,a three layer gold necklace with five discs and square on it.,Gold,,,Necklace
